Number comments,Tier,Title,Votes,Date
0,contributor,titanic sunk,0,2018-02-06 14:51:18.293000000
2,novice,Correct use of nested cross validation technique?,0,2018-02-06 05:27:24.538590500
6,contributor,Titanic The Machine Learning Fix Some Mistakes,0,2018-02-05 22:37:37.890000000
3,novice,Titanic [Survivals Analysis],4,2018-02-05 20:44:15.280000000
27,contributor,Anyone need a team member?,4,2018-02-05 10:52:44.437984900
0,contributor,First try with random forest,0,2018-02-05 07:53:27.952343400
0,contributor,Predictions on titanic,1,2018-02-05 05:47:10.037000000
0,novice,"Titanic: Error, unexpected symbol",0,2018-02-04 14:43:15.716397600
0,contributor,EDA To Prediction(DieTanic),0,2018-02-03 15:24:17.003000000
0,novice,problem solved,0,2018-02-03 14:51:45.640344800
6,novice,Submission core shows 0.000 even model score is 79%,1,2018-02-03 10:32:40.008071000
1,novice,Titanic: Random Forest (cforest) 80.861%,2,2018-02-02 14:41:38.305122800
0,novice,First practice,0,2018-02-01 13:52:54.210000000
2,novice,Why my submission result is 0.5167?Titanic dataset problem,0,2018-02-01 10:04:45.115475500
0,contributor,Titanic Data Science Solutions,0,2018-02-01 08:43:32.323000000
3,contributor,More than 85% in Titanic?,0,2018-01-30 17:26:22.566865500
4,contributor,Is my model suffering from overfitting ?,1,2018-01-30 14:05:21.941073100
0,contributor,Titanic with DeepLearning (simple tensorflow),1,2018-01-30 13:46:44.863000000
2,novice,Leren en Beslissen Group 15 - Competition Entry,6,2018-01-30 10:19:53.360000000
2,novice,Titanic with keras NN: wrong outputs with test data,0,2018-01-29 17:25:24.580961800
5,contributor,泰坦尼克幸存者预测TitanicLvPeiyuan,0,2018-01-28 06:50:31.113000000
2,expert,Kaggle Starter,6,2018-01-27 17:25:00.740000000
80,contributor,End to End Project with Python,176,2018-01-27 14:37:24.463000000
3,contributor,The 15 Minute Titanic,0,2018-01-26 20:09:09.607000000
0,novice,Scoring deviation,0,2018-01-26 19:48:27.869293500
1,novice,Score calculation,0,2018-01-26 15:27:47.180977900
19,novice,Looking for Team ,1,2018-01-26 10:57:28.956636600
2,contributor,Titanic Data Analysis,0,2018-01-26 06:20:21.240000000
7,contributor,"First end-to-end competition, would like feedback (~78%)",1,2018-01-26 00:05:39.387510100
37,novice,whoever is looking for a new team!,0,2018-01-25 19:30:14.206098300
0,novice,whoever is looking for a new team!,0,2018-01-25 19:19:51.320820600
7,master,My First GP in R,14,2018-01-24 11:46:16.493000000
0,master,One propose to Titanic Rank,0,2018-01-24 02:29:26.576925300
1,novice,New team members for Titanic model. ,0,2018-01-23 10:51:49.079361100
16,novice,Looking for a team member,1,2018-01-22 13:35:25.606942500
0,novice,titanicSurvivorTraining,0,2018-01-22 07:17:37.503000000
3,novice,find teammate,0,2018-01-22 07:14:36.505037900
82,contributor,Titanic [0.82] - [0.83],57,2018-01-22 06:51:39.640000000
6,master,How can I pass of 0.7990? Whats the best approach?,0,2018-01-22 02:51:33.053264100
2,novice,Hey guys!I would like too join/make a team to learn and collaborate,0,2018-01-21 11:35:01.865301800
2,contributor,Titanic Solution: A Beginner\u0027s Guide,0,2018-01-21 01:21:25.153000000
6,novice,What is a good score?,0,2018-01-20 23:26:09.649251800
5,novice,Very new..Want to join a team.,0,2018-01-20 11:40:44.856501800
3,expert,Basic EDA and modeling for Titanic Survival,21,2018-01-20 11:13:06.573000000
26,novice,TeamMates Needed or Team Needed,0,2018-01-18 22:00:51.551886400
4,novice,Looking for teammates,0,2018-01-18 20:04:08.540948000
4,novice,Titanic : Survival Prediction,11,2018-01-18 13:43:40.797000000
0,novice,Anyone interested in Trying Free AutoML for the titanic dataset?,0,2018-01-17 21:00:04.362869600
2,contributor,Predicting Titanic Survivors,11,2018-01-17 07:38:31.163000000
0,contributor,"0.7945 using RF, SVM, GBA and their ensembles ",0,2018-01-16 20:26:07.143000000
50,contributor,looking for a team ,1,2018-01-15 11:14:35.617280000
0,novice,"philisters of the world, unite!",0,2018-01-14 23:15:57.828098800
41,master,Titanic [EDA] + Keras Neural Networks - Guide,90,2018-01-14 19:26:15.153000000
3,contributor,Top 8%,3,2018-01-14 18:38:22.607000000
6,novice,Anyone interested in beta testing AutoML on this dataset and others to get into top 1%?,0,2018-01-14 15:50:07.705901800
0,contributor,any know how to delete this discussion？,0,2018-01-14 14:36:21.980874100
7,novice,Need members for the Team \u0022DigDeepData\u0022,0,2018-01-14 11:26:46.281345200
5,contributor,Hunting for the best algorithm!,0,2018-01-13 17:26:18.955322000
2,novice,Looking to form a TEAM ,0,2018-01-13 04:45:23.611565500
6,contributor,Titanic: Pattern Analysis and Feature Spaces,19,2018-01-12 22:46:04.107000000
2,novice,Titanic Machine Learning For Beginners,1,2018-01-12 02:39:49.240000000
2,novice,Using Decision Tree to Predict Survival,0,2018-01-12 01:55:14.380000000
0,contributor,Fork of Titanic -NN Model,0,2018-01-10 23:00:56.717000000
2,contributor,Titanic dataset EDA and found error in the data,5,2018-01-10 21:08:36.770000000
14,novice,looking for team which is hungry  to learn!,4,2018-01-10 20:44:45.429848700
0,novice,Intro to ML through Titanic Survival Prediction,3,2018-01-10 04:35:06.170000000
64,novice,Need a team for discussion and learning,5,2018-01-09 15:47:40.066977500
7,novice,Prerequisites,0,2018-01-09 12:36:06.884061800
13,contributor,Looking for nice and enthusiastic team members,0,2018-01-09 11:16:19.128994700
4,contributor,Help with feature selection (I am using Logistic Regression),0,2018-01-08 22:17:43.715553000
0,novice,Titanic Data Exploration in Python,0,2018-01-08 18:40:05.363000000
10,novice,Titanic Analysis_Learning to Swim with Python,65,2018-01-08 18:16:46.100000000
4,novice,How to improve accuracy in Titanic competition-Please Help!,0,2018-01-07 06:45:47.664834800
7,novice,Hey guys!  I want to form a team so that we could learn and collaborate together and also compete together.  Let\u0027s chat and form a team.  Please drop comment and your background.,1,2018-01-07 06:01:18.682977300
2,contributor,"Titanic - Logistic Reg., feature mapping \u0026 kernel",1,2018-01-06 20:43:21.503000000
0,novice,Titanic Decision Tree implemented as Lean Startup ,5,2018-01-05 15:22:34.053000000
1,contributor,Titanic: Machine Learning from Disaster- To improve Accuracy?,1,2018-01-04 23:04:00.347134000
3,contributor,Imputation and Feature Engineering,3,2018-01-04 18:33:33.313000000
9,expert,Are Python 0.88995 and R 0.82296 the max realistic scores?,1,2018-01-04 13:13:36.000308500
14,contributor,Looking for learners to team up with ,1,2018-01-04 07:08:58.205060300
9,contributor,Forming a serious team - Looking for more. ,0,2018-01-04 01:18:55.364293500
4,contributor,"Analysis, Visualization and Learning (Log. Reg.)",17,2018-01-03 23:43:11.920000000
19,novice,Team up with me!,1,2018-01-03 20:38:54.991795300
3,contributor,My Titanic Analysis,8,2018-01-03 13:57:35.803000000
0,novice,九章机器学习从1到10项目班Logistic Regression预测Titanic乘客逃生,4,2018-01-03 05:22:41.747000000
3,novice,Unseen class feature,1,2018-01-02 19:42:56.182105300
0,contributor,Titanic - Machine Learning from Disaster,2,2018-01-02 04:37:33.050000000
0,contributor,Notebook120b4677f9,2,2018-01-01 18:11:00.240000000
7,novice,What to study?,0,2017-12-31 20:11:16.943159700
0,contributor,Titanic | Solution | Logistic Regression ,0,2017-12-31 08:08:11.517000000
3,novice,Looking for a team in bangalore. ,0,2017-12-31 06:38:29.044647600
0,novice,Titanic Python Decision Trees,0,2017-12-29 18:15:52.963000000
20,contributor,"Comparing ML algorithms, train ACCURACY \u003e 90%",32,2017-12-29 12:35:33.567000000
35,novice,Looking for a couple teammates,4,2017-12-28 22:56:57.774857000
2,novice,Looking for a team,2,2017-12-28 16:25:38.409395500
9,expert,Titanic Survival Class. 79.90% Test Acc.,15,2017-12-28 15:01:54.160000000
0,contributor,Titanic: putting learning into practice,0,2017-12-28 12:22:37.255120600
2,contributor,Looking for a team to start with!,2,2017-12-28 07:11:50.157340900
0,novice,"Looking for team in Moscow, Russia",0,2017-12-27 08:28:48.150601200
0,contributor,Ml Basics,9,2017-12-27 07:28:48.827000000
21,contributor,Titanic : EDA to ML (Beginner),34,2017-12-27 06:43:52.140000000
188,expert,Head Start for Data Scientist,575,2017-12-25 15:49:58.393000000
2,novice,Looking for team mate!!,0,2017-12-25 07:24:05.589694200
4,contributor,Titanic problem : A simple approach,8,2017-12-25 06:35:26.063000000
5,contributor,Looking for Team for Competition participation #abc[iitr] ,1,2017-12-25 05:36:53.464232600
8,novice,Random Forest feature engineering.... your experience?,4,2017-12-24 19:46:36.662197600
0,expert,Understanding dplyr Verbs with Titanic Dataset,0,2017-12-24 17:52:52.967000000
2,novice,Basic Classification methods for Titanic,23,2017-12-24 07:00:37.637000000
5,novice,Looking for team ,0,2017-12-23 16:32:45.756269200
3,novice,Looking for team members,1,2017-12-23 09:00:07.175625800
0,contributor,Showdown of algorithms for Titanic Dataset,0,2017-12-23 08:24:59.660000000
17,novice,Looking for Team members,1,2017-12-22 10:43:03.801572500
10,contributor,Looking for teammate,1,2017-12-21 10:59:38.133782400
9,novice,Anyone interested in teaming up?,0,2017-12-21 03:25:19.092676900
4,novice,Can someone count me in for Team up ?,0,2017-12-20 17:52:38.924919100
9,novice,Want to form a team,0,2017-12-20 17:34:20.357959700
2,contributor,Titanic\u0027s Data Visualization,0,2017-12-19 22:17:24.350000000
2,contributor,Testing XGB on Titanic,1,2017-12-19 11:44:32.650000000
9,novice,Looking for a team,0,2017-12-19 06:10:40.466685100
1,novice,Gradient Boosting ,1,2017-12-18 18:37:52.735683000
3,contributor,Keras Deep Learning on Titanic data,5,2017-12-18 12:18:47.193000000
14,contributor,"Journey from Statistics, EDA, to Prediction",47,2017-12-17 00:01:03.410000000
3,contributor,Titanic: 80% accuracy(top 14%) Random Forest,2,2017-12-16 18:45:46.860000000
3,contributor,Titanic survivor predictions and analysis,3,2017-12-16 17:11:54.077000000
24,expert,A tutorial for COMPLETE BEGINNERS ,63,2017-12-16 16:19:07.560000000
4,contributor,Titanic Top 14% with Random Forest,2,2017-12-16 14:05:13.037000000
6,expert,What needs to be done to ensure model works on test set private leaderboard?,0,2017-12-16 11:15:45.161462800
1,novice,Decision Trees predictors as factors?,0,2017-12-16 08:21:06.860535100
2,contributor,Titanic : RandomForest Starter with EDA,0,2017-12-16 07:15:57.330000000
14,novice,Looking for Team,0,2017-12-15 11:45:13.469119800
0,novice,Proper CV techniques,2,2017-12-15 02:25:54.433000000
0,novice,Odd results with sklearn SVM ,0,2017-12-14 23:07:16.390862100
11,novice,Need a Team.,0,2017-12-14 13:44:31.460783100
22,novice,Looking for team,3,2017-12-13 14:18:30.266118500
4,contributor,Titanic Visualization with ggplot2 ,5,2017-12-13 09:17:58.770000000
4,novice,Kaggle Titanic Tutorial,6,2017-12-13 07:40:11.340000000
0,novice,Titanic Data Science Solutions 83f146,2,2017-12-13 03:49:29.940000000
2,novice,Productionalizing the use of One Hot Encoding to resolve categorical data.,0,2017-12-12 21:09:42.634773200
197,expert,Titanic: 2nd degree families and majority voting,383,2017-12-12 12:46:59.387000000
0,novice,Kaggle Titanic Tutorial,0,2017-12-12 07:17:11.917000000
6,novice,Looking for a team,0,2017-12-11 04:49:41.903960300
0,contributor,Titanic challenge,0,2017-12-10 23:08:23.720000000
7,contributor,"With only preprocessing data, what is the best performance achievable with SVM? ",0,2017-12-09 12:33:18.854495500
1,novice,Lessons Learned,0,2017-12-09 00:59:47.727851500
7,novice,Want to form a Team to learn and perform,1,2017-12-08 10:26:26.098967600
1,novice,Score not improved though accuracy did,0,2017-12-07 19:14:10.839006500
0,novice,The problem I encountered while referring to Megan\u0027s code,0,2017-12-07 10:40:30.530290500
1,novice,How to updload the final file,0,2017-12-07 06:30:48.023538800
6,novice,Want to form a team solve the Titanic,0,2017-12-07 02:47:12.075752100
5,contributor,Titanic competition: dataset analysis,1,2017-12-07 00:51:37.080000000
2,contributor,Predicting Surviving in Titanic,0,2017-12-06 18:26:39.100000000
5,novice,Python script or notebook?,1,2017-12-06 16:14:15.143353700
8,contributor,Titanic Cabin Features,13,2017-12-06 13:31:00.480000000
3,contributor,DNN with TensorFlow\u0027s Dataset API and Estimator,0,2017-12-06 12:03:21.707000000
0,novice,AI fish detection and classification algorithm competition,0,2017-12-05 19:26:10.500198100
4,novice,Errors in Age data?,0,2017-12-05 16:04:36.703086800
3,contributor,Feature Engineering for Titanic Dataset,5,2017-12-04 22:04:50.850000000
10,novice,Looking for Team Members to learn with,0,2017-12-04 15:34:25.369130300
6,novice,Looking for a Team,0,2017-12-04 12:31:54.419990000
2,novice,Duplicate Ticket numbers,0,2017-12-03 11:30:24.817773300
3,novice,looking for a team!,0,2017-12-03 04:56:46.823197400
0,expert,Applying LightGBM to Titanic dataset,6,2017-12-02 19:28:28.597000000
45,contributor,A Statistical Analysis of Titanic with ML Models,90,2017-12-02 15:48:17.360000000
2,contributor,Uso de Random Forest,1,2017-12-01 23:49:16.603000000
0,novice,BrandonSRonCBrianG_A2_Script,0,2017-11-30 23:51:36.657000000
7,contributor,Chronicle of a tragedy,11,2017-11-30 20:00:53.557000000
0,novice,EDA To Prediction(DieTanic),0,2017-11-30 11:04:46.287000000
0,contributor,Titanic exploration and Prediction,3,2017-11-30 05:32:33.493000000
1,novice,qcut Struggle With Fare,0,2017-11-30 02:44:31.875975200
0,contributor,"Using matplotlib, numpy and pandas in Titanic ",0,2017-11-29 13:02:35.787000000
2,novice,Just Another Titanic Kernel...,0,2017-11-29 10:30:57.130000000
6,novice,Looking for team members,0,2017-11-28 14:08:27.777360400
11,novice,Looking for teammate,1,2017-11-26 13:45:23.639113800
9,contributor,Predicting Titanic Survival using Five Algorithms,24,2017-11-26 11:38:44.173000000
2,contributor,Titanic survival (my 2nd Titanic kernel),0,2017-11-26 03:11:03.120000000
0,contributor,xLearn - High-Performance and Scalable Machine Learning Package,1,2017-11-24 15:48:45.350080700
17,contributor,Looking for people to learn with,0,2017-11-24 15:35:19.707772000
4,contributor,Titanic Data Analysis and ML,5,2017-11-23 17:06:58.853000000
2,expert,Learning ML with Titanic Survival,23,2017-11-23 09:28:27.340000000
194,contributor,A Data Science Framework: To Achieve 99% Accuracy,801,2017-11-23 00:45:33.907000000
3,expert,Exploring Passenger Nationality,4,2017-11-23 00:37:59.457000000
3,contributor,TITANIC: Beginner,4,2017-11-22 17:18:09.710000000
0,novice,New To Machine Learning,0,2017-11-22 17:17:56.499020700
0,contributor,"Titanic: EDA, Regression, KNN, RFC and Grad Boost",0,2017-11-22 02:21:23.870000000
16,novice,looking for a team,0,2017-11-21 11:57:35.909031500
0,contributor,Titanic - my first kernel,2,2017-11-20 20:54:23.580000000
0,novice,"Titanic: Beyond the movie, closer to disaster",0,2017-11-20 18:21:48.583000000
2,expert,How to upload a kernal using Spark in R,0,2017-11-20 15:17:58.080218000
2,contributor, Titanic: Logistic Biner Regression,3,2017-11-20 12:54:06.307000000
2,novice,My first submission of Titanic Survival problem,6,2017-11-20 07:47:13.530000000
2,novice,NN does not train / learn anything,1,2017-11-18 15:27:33.758379700
9,novice,Test set evaluation very different from hold-out set - any ideas?,1,2017-11-17 14:34:04.948703800
4,contributor,Titanic Analysis with R,3,2017-11-17 03:25:39.797000000
21,novice,Looking for Team,0,2017-11-16 19:22:28.264465800
0,contributor,Titanic - logistic regression,0,2017-11-16 08:29:02.913000000
27,expert,"Titanic: Voting, Pipeline, Stack, and Guide",122,2017-11-16 06:12:56.350000000
4,novice,Data novice/n00b looking for direction,0,2017-11-16 04:14:39.349299500
4,novice,looking for nice teamate :),0,2017-11-14 18:36:56.597370400
1,contributor,Benefits of using multiple models?,0,2017-11-14 14:19:03.467927400
0,contributor,Private Leaderboard,0,2017-11-14 00:21:02.835733400
4,contributor,[Top 5%] XGBoost tunning - first competition,15,2017-11-13 21:29:13.150000000
3,novice,Technics to predict the age,1,2017-11-13 17:38:51.292706600
0,novice,MM - first attempt at Kaggle ,3,2017-11-13 14:11:01.397000000
0,contributor,Who Dies? Who Lives? You Decide!,0,2017-11-13 12:13:38.600000000
10,contributor,Looking for a team member,0,2017-11-13 06:27:31.611083000
13,expert,3 Seconds and 3 Features - top 10%,16,2017-11-11 13:40:49.077000000
46,novice,Looking for a team,5,2017-11-11 13:18:26.711820100
3,novice,GridSearchCV accuracy vs Kaggle Score.,2,2017-11-11 12:39:34.994751900
4,novice,Looking for a teammate!,0,2017-11-11 12:00:13.562384200
3,novice,R Normalizing Data Problems,0,2017-11-10 18:15:24.865481400
2,novice,problem about constructing the notebook,0,2017-11-10 09:48:11.803999300
3,novice,My Competition Score and Ranking in not coming up in public Leader Board,0,2017-11-10 05:21:48.243218900
2,contributor,Evaluation Exception: Submission must have 418 rows,0,2017-11-10 03:48:50.532109400
4,novice,Teammates w/ Data Science fascination,0,2017-11-10 00:48:46.245277600
5,novice,Issue with kaggle score,0,2017-11-09 21:18:45.441997900
1,novice,Looking for Experienced Person to Team up with,0,2017-11-09 16:43:18.024216700
7,contributor,Forming a Team With Google Plus,2,2017-11-08 19:16:35.524255400
1,novice,Difference between cross validation and using a validation set?,0,2017-11-08 04:57:48.478147900
27,novice,Looking for a team,0,2017-11-07 23:18:38.445641600
0,contributor,Exploring Survival on the Titanic 0.81818,5,2017-11-07 20:00:30.413000000
10,contributor,Using neural network for prediction,4,2017-11-07 14:17:58.345209200
8,contributor,Titanic: Neural Network using Keras,5,2017-11-07 11:25:00.127000000
3,contributor,titanic-for-beginners,8,2017-11-06 13:08:22.267000000
5,novice,New to Kaggle and R ,0,2017-11-06 10:02:46.404104500
18,expert,Titanic Data Exploration Starter,151,2017-11-06 02:51:21.690000000
6,contributor,Titanic  - ML basics,16,2017-11-05 15:08:29.530000000
2,novice,Titanic Solution,0,2017-11-05 09:37:28.147000000
5,novice,Method to compare different Models?,1,2017-11-04 15:54:57.934906100
0,contributor,Titanic - TensorFlow Canned Estimators (Beginners),4,2017-11-03 15:14:02.643000000
3,novice,Got about 99.5% score with decision tree - stupid mistake? ,0,2017-11-02 21:48:17.183160400
0,novice,Titanic data: Maching learning,4,2017-11-02 05:31:10.687000000
3,novice,Python issue splitting Ticket in to two parts,0,2017-11-01 18:27:08.357462300
2,contributor,(Accuracy %77.99) no Feature Engineering,3,2017-11-01 11:16:36.520000000
0,contributor,Titanic: Machine Learning from Disaster,0,2017-11-01 06:02:13.100000000
0,staff,Predicting Survival on Titanic: Method Comparison,6,2017-10-31 16:46:46.773000000
0,staff,Poetry Generator (RNN Markov),26,2017-10-31 16:31:34.283000000
1,novice,New member - confused with Kaggle,0,2017-10-31 13:54:55.994678500
0,contributor,Titanic Competition Random Forest Grid Search,2,2017-10-31 00:01:57.167000000
7,novice,Looking for a team,0,2017-10-30 22:04:36.292415900
0,novice,A Beginner\u0027s Experience with Titanic,0,2017-10-30 18:55:13.037000000
3,contributor,Titanic Problem,3,2017-10-30 12:07:18.600000000
2,contributor,ground truth column in training data,1,2017-10-30 07:55:50.316251800
2,novice,Scikit-Learn ML from Start to Finish 1,0,2017-10-30 07:35:45.980000000
0,novice,Survival prediction on Titanic,1,2017-10-29 16:49:20.243000000
1,novice,update,0,2017-10-29 16:42:21.114504300
3,contributor,Titanic Solution with sklearn classifiers,11,2017-10-29 03:53:50.480000000
2,contributor,Titanic Kernel 79.4% Accuracy,0,2017-10-28 19:13:00.743000000
107,contributor,Titanic Survival Predictions (Beginner),254,2017-10-28 18:11:31.760000000
0,contributor,"Kaggle Titanic tutorial, passing 82%, Part 1",9,2017-10-27 14:08:33.427000000
3,contributor,The meaning of SibSp \u0026 ParCh,0,2017-10-27 12:14:57.501457300
0,novice,titanic process test (copy and run in python 3.5),0,2017-10-26 23:40:58.627000000
4,novice,Titanic - Logistic regression from scratch (0.779),1,2017-10-26 19:27:09.897000000
3,novice,New here and looking for help,0,2017-10-26 09:48:26.432231300
4,novice,Solution of the challenge ? Novice in machine learning,1,2017-10-26 03:21:00.464482300
0,contributor,"Join a new community on Discord (learn, talk and share around ML)",0,2017-10-25 16:56:14.439230500
3,contributor,Titanic Data Science Solutions,0,2017-10-25 14:47:29.573000000
0,novice,Ginjo\u0027s prediction (Thai),0,2017-10-25 14:08:13.907000000
5,contributor,"Understanding Data Leakage, building Pipelines and the question of \u0022Should I use the whole dataset when preprocessing?\u0022",1,2017-10-25 09:59:48.140596400
5,contributor,How my approach on Titanic Competition changed over time,9,2017-10-24 20:11:55.802360700
3,contributor,My Data Analysis using Plot.ly,2,2017-10-24 06:59:31.190000000
2,contributor,Need help to understand model score (NN model),0,2017-10-24 04:00:04.732902600
11,novice, Submission Score is showing 0.00,1,2017-10-23 15:08:30.587527100
1,novice,where is error????,0,2017-10-23 15:01:31.417315900
14,novice,Looking for joining a team,0,2017-10-23 13:50:20.894872800
5,contributor,How much correlation is allowed between the classifiers when building and ensemble classifier,0,2017-10-23 08:58:05.705188300
4,novice,looking for team mates ,0,2017-10-21 08:25:53.319690500
5,contributor,Feature Engineering on the Titanic for 0.81339,14,2017-10-20 03:09:07.783000000
0,contributor,Kernel doesn\u0027t load,0,2017-10-18 14:16:35.048284200
8,contributor,Leaderboard scores are confusing ... what score should I aim for?,2,2017-10-18 10:02:26.041649800
0,contributor,Titanic Survivor Prediction,0,2017-10-17 01:18:55.307000000
2,contributor,1st_TitanicSurvivalPrediction,6,2017-10-16 19:40:49.900000000
8,contributor,SVC and KNN doesn\u0027t perform well,0,2017-10-16 17:08:56.788283700
6,novice,New to ML. Looking for a team.,0,2017-10-16 15:14:29.051770400
0,novice,Titanic Survival: First Try without Tutorial,0,2017-10-16 05:44:30.900000000
2,contributor,titanic_try_20171016,0,2017-10-15 21:08:40.980000000
6,novice,Looking for team members,0,2017-10-15 12:00:48.375767500
1,contributor,Any Kernels focussing on Model Selection?,1,2017-10-13 08:15:59.896923300
1,novice,\u0022False\u0022 survivors affecting score,0,2017-10-12 18:14:31.222036400
3,contributor,imputing the age (or any missing value generally in an ML problem),1,2017-10-12 11:47:35.762671800
1,novice,Questions about the validity of feature engineering,0,2017-10-12 08:23:47.811669800
4,novice,Are using the Titanic tutorials \u0022cheating\u0022?,0,2017-10-12 02:09:07.878033600
3,novice,Looking for a team,0,2017-10-11 23:16:46.765626300
32,novice,Looking for team members...,0,2017-10-11 12:04:18.904056600
0,novice,Titanic prediction 1st Submission,0,2017-10-11 04:47:14.063000000
6,novice,My submission is scored zero???,1,2017-10-10 17:40:33.830009200
26,novice,Looking 4 a team 2 join...,0,2017-10-10 13:45:58.068101200
2,novice,Help: Anyone else unable to install rattle/RGtk2 in R?,0,2017-10-09 19:07:40.069844100
2,novice,Fill missing values based on groupby ,0,2017-10-09 09:25:06.535014300
10,novice,New to Kaggle and ML and looking for a team,0,2017-10-09 02:02:49.161895800
0,novice,Need some help running multinomial regression for logistic regression,0,2017-10-08 22:16:35.942720300
8,staff,Predicting Pathologies In X-Ray Images,29,2017-10-08 21:59:10.443000000
15,novice,Looking for a team,3,2017-10-08 10:24:40.980178100
3,novice,Train the classifier with all data?,1,2017-10-06 08:46:06.402737700
1,novice,GridSearchCV and cross_val_score,1,2017-10-06 08:39:44.649948400
3,contributor," 12,500 Feet Under the Sea",10,2017-10-04 12:38:34.137000000
8,contributor,Problem with replace command.,0,2017-10-04 09:44:01.417006400
1,contributor,Dropping NA rows and still output 418 rows for submission,0,2017-10-04 03:01:46.208470200
2,novice,Titanic: a Demo of Pandas and Scikit-learn,6,2017-10-03 22:15:13.707000000
0,contributor,Looking for a team,0,2017-10-03 12:44:18.788695300
0,contributor,How to improve feature importances,0,2017-10-03 11:05:37.416409200
5,novice,Looking to join a team,0,2017-10-03 09:01:18.578274500
20,novice,Looking to join a team,0,2017-10-03 04:45:33.164371300
0,novice,Looking to join a team,0,2017-10-03 04:25:31.920984800
2,contributor,4 classifiers for Titanic Dataset,7,2017-10-02 20:13:08.723000000
1,novice,New to R... Need help,0,2017-10-02 19:13:14.873869900
8,novice,Test score much better than Kaggle\u0027s score ,3,2017-10-02 10:18:52.187052100
1,novice,Submissions do we need to submit the R file as well,0,2017-10-02 05:25:59.126650100
0,contributor,Titanic on the ROCks with a LIME,0,2017-10-01 23:00:49.880000000
18,master,Logistic Regression and ROC Curve Primer,79,2017-10-01 17:57:28.993000000
3,novice,"so,what is the use of gender_submission.csv?",1,2017-09-30 12:46:08.701633500
57,staff,Partial Dependence Plots,125,2017-09-30 12:31:33.573000000
1,contributor,Sibsip and Title Extraction is not enough to get in top 5% on the Leader. What should i do,1,2017-09-30 09:54:21.638850300
3,novice,Bias and variance of random forests,1,2017-09-30 09:36:42.303069400
3,novice,I notice 2 items with the same ticket number,0,2017-09-30 04:17:44.178631900
2,novice,Question about HasFamily(combined feature) and Visualization,0,2017-09-30 03:00:53.882394200
9,novice,Looking for a team,0,2017-09-29 12:07:34.413604900
0,contributor,Test Accuarcy is low and Training and Validation Accuracy is high??,0,2017-09-29 11:53:51.140142900
1,novice,New to Kaggle in search of team.,0,2017-09-29 11:42:42.278717000
4,novice,is knn not right?,0,2017-09-28 14:37:27.241893300
4,novice,Looking for a team.,0,2017-09-28 04:13:33.161562200
108,master,EDA To Prediction(DieTanic),655,2017-09-28 02:21:55.363000000
0,novice,looking for a team,0,2017-09-27 14:45:25.301939900
0,novice,Looking to join a team(skillset: python hands on),0,2017-09-26 12:10:54.468793200
9,contributor,Finding Important Factors To Survive Titanic,21,2017-09-26 10:23:31.193000000
0,novice,Impact of Features on simple Neural Networks,3,2017-09-25 22:44:41.053000000
2,contributor,Hypothesis-based approach to surviving Icebergs,0,2017-09-25 21:42:53.193000000
0,novice,First competition,0,2017-09-25 07:13:15.277000000
49,novice,Looking for a team. I am a beginner.  ,0,2017-09-25 01:03:22.625326500
0,novice,Tensorflow Model (andrew-ng class) (Beginner) ,1,2017-09-24 17:57:44.040000000
39,novice,"Newbie to Kaggle , looking for team.",5,2017-09-24 09:38:25.465002200
10,novice,Looking for a team,2,2017-09-24 08:43:12.492234100
2,novice,Looking for a team to improve my skills,1,2017-09-23 19:47:18.106553300
0,novice,Titanic - First ML Project,2,2017-09-23 18:44:53.203000000
0,novice,want to join a team,0,2017-09-23 18:01:36.169883900
3,novice,Pre-requisities for starting titanic problem ?,1,2017-09-23 16:45:20.399509100
2,novice,Get more experience with teammate,0,2017-09-23 12:30:26.731200900
17,contributor,Where is my output file?,66,2017-09-23 11:32:57.970000000
4,novice,New to Kaggle need to join team,0,2017-09-23 06:30:53.054897100
4,novice,How to use Surnames,0,2017-09-21 19:49:22.960574200
3,contributor,Some SibSp/Parch values are wrong,11,2017-09-21 01:18:46.498995700
5,novice,Blood is thicker than water \u0026 friendship forever,9,2017-09-20 23:19:26.003000000
3,novice,Titanic: ANOVA in Python with no assumption of equal variances,1,2017-09-20 22:20:46.263914300
0,novice,Titanic,0,2017-09-20 15:25:22.150000000
0,novice,Titanic Willem Wijgergangs,0,2017-09-20 11:04:42.707000000
2,novice,Notebook74e97994a3,0,2017-09-20 07:50:31.560000000
0,novice,Next mission,0,2017-09-19 20:46:23.883337700
8,novice,Any openings in your team / form a team ?,1,2017-09-19 20:34:31.449805700
2,novice,Bagging and boosting Titanic passengers,5,2017-09-19 14:26:45.680000000
3,novice,Titanic Problem Solving,2,2017-09-19 12:21:45.610000000
5,novice,Support Vector Machines Approach Question,1,2017-09-18 21:08:22.627513600
1,novice,files have magic number \u0027Passe\u0027 - what does it mean?,0,2017-09-18 20:40:51.376556000
1,novice,Looking for people to learn together!!!,0,2017-09-18 16:46:30.913564700
5,novice,"Help!!! Why my training score is 84%, but submission score only 79.9%?",2,2017-09-18 09:10:49.427255300
0,contributor,Titanic: enhancing the training data and KIS,1,2017-09-18 06:34:05.877000000
2,expert,Titanic Survival Predictions with RandomForest,4,2017-09-17 07:56:25.490000000
0,contributor,Titanic passenger survival forecast——R,0,2017-09-17 06:33:13.953000000
